lum_reg_n,lum_year,luc_name,sum
Auckland,1990,Grassland - High producing,207787.00219431073
Auckland,1990,Natural Forest,145364.97412656484
Auckland,1990,Settlements,49730.01131741323
Auckland,1990,Planted Forest - Pre-1990,43771.22250466931
Auckland,1990,Grassland - Low producing,27512.68225046350
Auckland,1990,Grassland - With woody biomass,11369.77808928965
Auckland,1990,Cropland - Annual,6407.24780791118
Auckland,1990,Other,3668.84309829028
Auckland,1990,Cropland - Perennial,2946.27500489426
Auckland,1990,Wetland - Open water,2295.93350743807
Auckland,1990,Wetland - Vegetated non forest,1525.67499011471
Bay of Plenty,1990,Natural Forest,578608.88811054506
Bay of Plenty,1990,Planted Forest - Pre-1990,267999.46692159944
Bay of Plenty,1990,Grassland - High producing,171633.53522133326
Bay of Plenty,1990,Grassland - Low producing,102720.75174870707
Bay of Plenty,1990,Grassland - With woody biomass,37376.91177673584
Bay of Plenty,1990,Wetland - Open water,24849.12863286000
Bay of Plenty,1990,Cropland - Perennial,17605.93222369974
Bay of Plenty,1990,Settlements,13923.42373138318
Bay of Plenty,1990,Cropland - Annual,7805.95970977399
Bay of Plenty,1990,Other,2909.61325422467
Bay of Plenty,1990,Wetland - Vegetated non forest,2494.37040684518
Canterbury,1990,Grassland - Low producing,2017137.45414205227
Canterbury,1990,Grassland - High producing,971547.16882994727
Canterbury,1990,Natural Forest,441751.59312505584
Canterbury,1990,Other,416906.09834326747
Canterbury,1990,Grassland - With woody biomass,250105.59138095226
Canterbury,1990,Cropland - Annual,242228.26115614864
Canterbury,1990,Wetland - Open water,130609.49429509892
Canterbury,1990,Planted Forest - Pre-1990,100124.09088171365
Canterbury,1990,Settlements,29891.49994502915
Canterbury,1990,Wetland - Vegetated non forest,16846.52619787079
Canterbury,1990,Cropland - Perennial,4839.58223922224
Gisborne,1990,Grassland - Low producing,380181.23956573648
Gisborne,1990,Natural Forest,235538.09571179849
Gisborne,1990,Planted Forest - Pre-1990,83430.43215883495
Gisborne,1990,Grassland - High producing,80319.38870924304
Gisborne,1990,Grassland - With woody biomass,36597.15203017285
Gisborne,1990,Cropland - Annual,6780.62190845171
Gisborne,1990,Other,5370.74805088961
Gisborne,1990,Cropland - Perennial,5048.70739784381
Gisborne,1990,Settlements,2722.73388612124
Gisborne,1990,Wetland - Open water,2582.68912771497
Gisborne,1990,Wetland - Vegetated non forest,637.14681573155
Hawkes Bay,1990,Grassland - High producing,468497.05138231172
Hawkes Bay,1990,Natural Forest,419979.26682986265
Hawkes Bay,1990,Grassland - Low producing,329729.32497613478
Hawkes Bay,1990,Planted Forest - Pre-1990,98028.30719562512
Hawkes Bay,1990,Grassland - With woody biomass,50443.78801740957
Hawkes Bay,1990,Cropland - Perennial,17057.20344500257
Hawkes Bay,1990,Wetland - Open water,12902.91763682454
Hawkes Bay,1990,Cropland - Annual,10180.34537727366
Hawkes Bay,1990,Settlements,7402.96026246378
Hawkes Bay,1990,Other,3425.44721080790
Hawkes Bay,1990,Wetland - Vegetated non forest,2579.42887195345
