lum_reg_n,lum_year,luc_name,sum
Northland,2008,Grassland - With woody biomass,18668.06520763746
Northland,2008,Other,11444.65568353605
Northland,2008,Wetland - Vegetated non forest,9631.84649780141
Northland,2008,Wetland - Open water,7961.39358340847
Northland,2008,Settlements,7511.86809094726
Northland,2008,Cropland - Perennial,6466.62133893938
Northland,2008,Cropland - Annual,2885.09221456313
Otago,2008,Grassland - Low producing,1839290.12149351231
Otago,2008,Grassland - High producing,543116.58147085377
Otago,2008,Natural Forest,257499.63920852366
Otago,2008,Grassland - With woody biomass,154256.54913670295
Otago,2008,Other,110766.39611156673
Otago,2008,Wetland - Open water,94803.67000950670
Otago,2008,Planted Forest - Pre-1990,93723.09281349982
Otago,2008,Post 1989 Forest,49115.82083720582
Otago,2008,Wetland - Vegetated non forest,16078.03801315193
Otago,2008,Cropland - Annual,14391.40677108992
Otago,2008,Settlements,13158.03809774688
Otago,2008,Cropland - Perennial,5059.92835400911
Southland,2008,Natural Forest,1315714.11679146820
Southland,2008,Grassland - Low producing,727090.78667420425
Southland,2008,Grassland - High producing,683149.44544806246
Southland,2008,Grassland - With woody biomass,153653.34028413756
Southland,2008,Wetland - Open water,93663.22617511272
Southland,2008,Other,86451.58463923662
Southland,2008,Planted Forest - Pre-1990,45154.83351607563
Southland,2008,Post 1989 Forest,43252.65207701242
Southland,2008,Wetland - Vegetated non forest,32899.05765492887
Southland,2008,Settlements,7289.81629693929
Southland,2008,Cropland - Annual,5629.68909301890
Southland,2008,Cropland - Perennial,26.06561517666
Taranaki,2008,Natural Forest,288302.69742020021
Taranaki,2008,Grassland - High producing,266675.41940190890
Taranaki,2008,Grassland - Low producing,115958.97953450310
Taranaki,2008,Post 1989 Forest,16517.80831985082
Taranaki,2008,Planted Forest - Pre-1990,13317.23852745428
Taranaki,2008,Grassland - With woody biomass,12238.75467983164
Taranaki,2008,Settlements,6725.68693553647
Taranaki,2008,Wetland - Open water,2736.05805709482
Taranaki,2008,Cropland - Annual,1404.40560515278
Taranaki,2008,Other,989.18410531931
Taranaki,2008,Wetland - Vegetated non forest,497.56604413136
Taranaki,2008,Cropland - Perennial,362.46748334390
Tasman,2008,Natural Forest,606233.92219584707
Tasman,2008,Grassland - Low producing,122570.32401774905
